Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615137528.138451335,-111884,76558.6,133582,0.100281,0.0298347,0.949579,0.295556,-0.00190144,0.00334595,0.00479713,0.00253212,0.00605033,-0.00472942
1615137528.143372957,-111884,76558.6,133582,0.100286,0.0298393,0.949589,0.295522,-0.00254369,0.00494846,0.00281698,-0.000954995,-0.00267614,-0.0108273
1615137528.148338686,-111884,76558.6,133582,0.100307,0.0298475,0.949597,0.295488,-0.00306025,0.00486339,0.00153571,0.00253791,-0.00878452,-0.0108152
1615137528.153168632,-111884,76558.6,133582,0.100305,0.0298638,0.949611,0.295441,-0.00248718,0.00338412,0.00425187,0.00428314,0.00168776,-0.00120627
1615137528.158140929,-111884,76558.6,133582,0.100346,0.0298764,0.949612,0.295424,-0.00439321,0.0032564,0.00090523,0.00864772,-0.0148927,-0.00294626
1615137528.162998095,-111884,76558.6,133582,0.100374,0.0298793,0.949611,0.295419,-0.00396686,0.00208167,0.00170417,0.00515547,-0.0105294,0.00403354
1615137528.170170241,-111884,76558.6,133582,0.100373,0.0298867,0.949612,0.295415,-0.00229176,0.00173078,0.00410102,0.00340817,0.00168771,0.00839153
1615137528.172742600,-111884,76558.6,133582,0.100362,0.0298868,0.949594,0.295474,-0.00162272,0.00516538,0.00586843,0.000791405,0.00954135,-0.00819912
1615137528.177714442,-111884,76558.6,133582,0.100365,0.0298485,0.949565,0.29557,-0.00316579,0.00635108,0.00293216,-0.0123013,-0.00529431,-0.00996013
1615137528.182557591,-111884,76558.6,133582,0.100362,0.0298273,0.949541,0.29565,-0.00225217,0.00508255,0.00386063,-0.00619658,-0.000931206,-0.00560812
1615137528.187478703,-111884,76558.6,133582,0.100367,0.029819,0.949516,0.295731,-0.00197921,0.00576051,0.00349447,-0.000962374,-0.0026766,-0.00998122
1615137528.192386636,-111884,76558.6,133582,0.100392,0.0298428,0.949497,0.295782,-0.00229108,0.00442549,0.00303275,0.0129986,-0.00703991,-0.00911185
1615137528.197223740,-111884,76558.6,133582,0.100392,0.0298583,0.949495,0.295785,-0.00142244,0.00360642,0.00555825,0.00601585,0.00168674,-0.00213202
1615137528.202121927,-111884,76558.6,133582,0.100385,0.0298944,0.949506,0.295748,-0.00133002,0.0016627,0.00444351,0.00166737,-0.00353273,0.00397735
1615137528.207067444,-111884,76558.6,133582,0.100406,0.029929,0.949519,0.295697,-0.0010036,0.00079239,0.00441473,0.0138875,-0.00440528,-0.000374014
1615137528.211962489,-111884,76558.6,133582,0.100427,0.0299523,0.949529,0.295656,-0.00103365,0.00311723,0.00421842,0.00865557,-0.007023,-0.00909026
1615137528.216868348,-111884,76558.6,133582,0.100439,0.0299589,0.949541,0.295612,-0.00105956,0.00281405,0.00479361,0.00167521,-0.00527734,-0.00384546
1615137528.221757403,-111884,76558.6,133582,0.100464,0.0299426,0.949561,0.29554,-0.00136984,5.88232e-06,0.00337617,-0.00356322,-0.0113857,0.0153594
1615137528.226644023,-111884,76558.6,133582,0.100475,0.0299409,0.94957,0.295507,-0.000407085,0.00148349,0.00503258,0.000802295,-0.00440426,0.00750923
