Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615136479.917238000,1.02549,3.21474,-0.778095,0.0954293,0.0716831,0.992127,-0.0379387,0.083732,-0.0221235,0.00300736,-0.054398,-0.0539901,-0.22055
1615136479.922139189,1.02507,3.21489,-0.778072,0.0955125,0.0716508,0.992143,-0.0373598,0.0853878,-0.0227814,0.00163646,-0.0360718,-0.0487542,-0.22404
1615136479.927217697,1.02448,3.21501,-0.778057,0.0955904,0.0715767,0.992163,-0.0367772,0.0877842,-0.0236646,0.00291069,-0.0500381,-0.0435185,-0.210086
1615136479.931940374,1.02432,3.21514,-0.77802,0.0956975,0.0715157,0.992178,-0.0362012,0.0853772,-0.0207907,0.000761944,-0.0482911,-0.0592267,-0.222309
1615136479.936942268,1.02262,3.21296,-0.77668,0.0957327,0.0713906,0.992204,-0.0356255,0.0858449,-0.0188552,-0.000261803,-0.0317741,-0.0522064,-0.222303
1615136479.941906856,1.02198,3.21326,-0.77707,0.0958391,0.0713566,0.992216,-0.0350759,0.0865497,-0.0191928,-0.00316151,-0.035268,-0.0565699,-0.208345
1615136479.946659460,1.02173,3.21333,-0.776881,0.0959179,0.0712653,0.992232,-0.0346035,0.0911344,-0.0212384,-0.000728625,-0.0588333,-0.0452253,-0.191769
1615136479.951632593,1.02171,3.21328,-0.7766,0.096007,0.0711641,0.992246,-0.0341446,0.0916499,-0.0229196,-0.000506052,-0.061452,-0.0478431,-0.185656
1615136479.956541643,1.02081,3.21355,-0.776893,0.0961125,0.0710277,0.992261,-0.0337096,0.0900806,-0.0165486,-0.0032769,-0.0771595,-0.0548241,-0.183907
1615136479.961432142,1.02036,3.21346,-0.776591,0.0961957,0.0709298,0.992272,-0.0333495,0.0911957,-0.0171855,-0.00530864,-0.0597092,-0.0452245,-0.162949
1615136479.966351814,1.02021,3.21353,-0.776593,0.096279,0.0708361,0.992281,-0.0330396,0.0955128,-0.0171429,-0.00546092,-0.0553494,-0.0434788,-0.140249
