Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615140455.880214929,2.23082,-2.40885,17.0047,-1.98856,2.34576,-0.0228869
1615140455.881652116,2.58024,-2.26849,17.5342,-2.03193,2.91134,-0.112512
1615140455.882642984,2.64471,-1.61352,17.1579,-2.11887,2.86595,-0.682935
1615140455.888381004,2.83713,-1.72777,17.65,-1.68136,3.17025,-0.686332
1615140455.889514923,2.69311,-1.94418,17.4277,-2.1615,2.90698,-0.165635
1615140455.936299085,2.23908,-0.97177,17.5048,-2.42476,2.75742,-0.830828
1615140455.937561988,2.25991,-0.650679,17.0604,-2.25012,2.58045,-1.09486
1615140455.938654899,2.50219,-1.9323,17.6945,-2.11976,3.14791,0.082662
1615140455.981251955,2.79323,-1.10159,17.1966,-1.90145,2.87654,-0.573949
1615140455.984688043,2.97713,-1.7629,17.2404,-1.42004,3.09362,-0.0944029
1615140455.987699031,2.696,-1.60055,16.9986,-1.76824,2.74238,-0.0951469
1615140456.25316953,3.09506,-2.10061,16.6409,-2.42444,2.5121,0.500898
1615140456.26673078,3.49427,-1.46003,17.438,-2.51284,3.21135,-0.198899
1615140456.27792930,3.32921,-0.967421,17.2194,-2.51375,2.90563,-0.593425
1615140456.72057008,3.09017,-1.70776,17.8509,-1.73485,3.46774,-0.158712
1615140456.72797060,3.00624,-0.658463,17.7414,-2.21518,3.3823,-0.85764
1615140456.73360919,2.98111,-0.907409,17.5653,-2.04075,3.33999,-0.683603
1615140456.76066970,2.74763,-2.17245,17.3379,-1.86619,3.16572,0.320644
1615140456.76762914,2.46603,-1.94714,17.0722,-1.60311,2.8148,-0.0282009
1615140456.120357036,2.9013,-2.56266,17.7679,-2.17222,3.33614,0.493731
1615140456.121814966,2.95178,-1.69343,18.0412,-2.56649,3.64496,-0.161797
1615140456.123169898,2.66337,-2.2577,17.5702,-1.86811,3.25258,0.0555696
1615140456.164160013,2.79976,-2.34333,17.7427,-2.52948,3.65224,0.355387
