Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615136813.863337570,0.777942,3.59954,-0.989579,0.0742048,0.0725427,0.971577,-0.212766,-0.000846571,-0.000152567,-0.00322807,-0.00677102,-0.00992506,-0.0150413
1615136813.868256228,0.777883,3.59934,-0.989221,0.0742293,0.0725162,0.971584,-0.212735,-0.000894759,-0.000154162,-0.00321612,-0.013753,-0.00817973,-0.011552
1615136813.873103909,0.777883,3.59926,-0.989275,0.074271,0.0725013,0.97158,-0.212745,-0.00234385,0.000782056,-0.0052858,-0.0120069,-0.016906,-0.0106714
1615136813.878023249,0.777789,3.59943,-0.989456,0.0742867,0.0724796,0.971578,-0.212756,-0.00158669,-0.000195675,-0.00373415,-0.0120064,-0.00556101,-0.00891925
1615136813.882917354,0.777829,3.59948,-0.98962,0.0742953,0.0725212,0.971574,-0.212757,-0.0011458,-0.00183031,-0.00409052,0.0141745,-0.00817876,-0.0106545
1615136813.887796291,0.777969,3.59943,-0.989487,0.0743182,0.0725269,0.971572,-0.212754,-0.00150095,0.000447101,-0.00497828,-0.00153289,-0.0107965,-0.010653
1615136813.892713251,0.777833,3.59947,-0.989553,0.0743135,0.0725322,0.971568,-0.212772,-0.000578329,-0.00202364,-0.00278937,0.00108476,0.00054841,-0.00541076
1615136813.897588780,0.778106,3.59924,-0.989329,0.0743202,0.072516,0.971564,-0.212793,-0.000932367,-0.00249303,-0.00369204,-0.00851414,-0.00206928,-0.00366128
1615136813.902474986,0.777766,3.59934,-0.989408,0.0743545,0.0724651,0.971568,-0.212781,-0.00146881,0.0016038,-0.00491584,-0.0259642,-0.0107956,-0.0158761
1615136813.907360124,0.778137,3.59939,-0.989598,0.0743741,0.0724398,0.971571,-0.212771,-0.00105022,0.00117289,-0.00409702,-0.0146183,-0.00730462,-0.0176124
1615136813.912265359,0.778168,3.59925,-0.989374,0.0743755,0.0723902,0.971575,-0.212767,-0.000316686,0.00162503,-0.00241258,-0.022472,0.00229503,-0.0149893
1615136813.917165452,0.778007,3.59925,-0.989377,0.0743707,0.072359,0.971578,-0.212764,-0.000641542,0.00102915,-0.00262139,-0.0146172,0.00316804,-0.014981
1615136813.922085722,0.778083,3.59927,-0.989495,0.0744064,0.0723461,0.971575,-0.212771,-0.0028292,3.31463e-06,-0.00559014,-0.0102541,-0.0142849,-0.00973765
1615136813.926992107,0.777815,3.59936,-0.989544,0.0744246,0.0723261,0.971573,-0.212781,-0.00195155,-0.00267995,-0.00381415,-0.0111267,-0.00643064,-0.00624171
1615136813.931913433,0.777907,3.59938,-0.98963,0.0744424,0.0722988,0.971575,-0.212776,-0.00131847,-0.00263212,-0.00287332,-0.013744,-0.0055578,-0.00798433
1615136813.936828165,0.777908,3.59919,-0.989351,0.0744808,0.0722615,0.971576,-0.212768,-0.00179717,-0.00182052,-0.00439752,-0.0189804,-0.012539,-0.00449302
1615136813.941690254,0.777967,3.59926,-0.989494,0.0744937,0.0722358,0.971586,-0.21273,-0.00102466,0.000151489,-0.00324934,-0.0128696,-0.00381238,-0.0149638
1615136813.946614130,0.777982,3.59928,-0.989604,0.0745139,0.0721985,0.97159,-0.212716,-0.00197453,-0.00177902,-0.00364215,-0.0163636,-0.00468514,-0.00013097
1615136813.951527519,0.777722,3.59951,-0.989847,0.0745249,0.0721725,0.971597,-0.212688,-0.00196953,-0.00183365,-0.00347602,-0.0111273,-0.00206732,-0.0036238
1615136813.956726716,0.777704,3.59965,-0.990114,0.0745379,0.0721428,0.971611,-0.212628,-0.00150531,0.00114479,-0.00235759,-0.0128711,-0.00294019,-0.0141
1615136813.961338103,0.778026,3.59934,-0.989655,0.0745405,0.0720878,0.971626,-0.212578,-0.000409546,0.000980432,-0.000600187,-0.0233451,0.00404084,-0.00799888
1615136813.966247711,0.777853,3.59945,-0.989813,0.074568,0.0720318,0.971646,-0.212497,-0.00175275,0.00260009,-0.00303726,-0.0250896,-0.00643147,-0.0167325
1615136813.971215949,0.777788,3.59934,-0.989614,0.0745628,0.0719868,0.971667,-0.21242,-0.00123479,0.00212561,-0.000359048,-0.0172372,0.00578546,-0.0141206
1615136813.976018746,0.777924,3.59935,-0.989641,0.074549,0.0719516,0.971682,-0.212365,-0.00203503,-0.000374176,0.000311404,-0.0120044,0.00927572,-0.00452857
1615136813.981012490,0.777905,3.5995,-0.989922,0.0745508,0.0719162,0.9717,-0.212293,-0.00252648,0.000551555,-0.000737587,-0.0137494,0.00229406,-0.011518
1615136813.985844475,0.777744,3.59934,-0.989687,0.0745611,0.071873,0.971717,-0.212227,-0.000980812,0.00278671,-0.00118278,-0.0181139,-0.000324249,-0.0106534
1615136813.990747586,0.777654,3.59866,-0.989241,0.0745645,0.0718039,0.971734,-0.212173,0.00035806,0.00143383,-0.000726977,-0.0155151,0.00142679,0.000683525
1615136813.995661172,0.777758,3.59858,-0.989128,0.0745756,0.0717739,0.971755,-0.212085,-0.00108742,0.00319828,-0.00265905,-0.0128948,-0.00206426,-0.0167779
1615136814.573429,0.777983,3.59848,-0.989038,0.0745644,0.0717354,0.971774,-0.212014,-0.000825996,0.00326118,-0.000356149,-0.0146413,0.00753478,-0.0150393
1615136814.5425414,0.777662,3.59862,-0.989296,0.0746197,0.0716364,0.971785,-0.211977,-0.00333329,0.00390643,-0.00494731,-0.0443154,-0.0134094,-0.00108708
1615136814.10381187,0.77771,3.59859,-0.989227,0.0746053,0.0715769,0.9718,-0.211933,-0.000560559,0.00465283,0.000103053,-0.023369,0.0101525,-0.0141742
1615136814.15231061,0.777782,3.59831,-0.988902,0.074615,0.0715236,0.971811,-0.211897,-0.000777831,0.00668071,-0.00233789,-0.0242409,-0.000319393,-0.0167908
1615136814.20139150,0.777588,3.5985,-0.98932,0.0746092,0.0715147,0.971816,-0.211881,-0.00134462,0.00775538,-0.00191577,-0.00591345,0.00142622,-0.0202714
1615136814.25059481,0.777693,3.59847,-0.989193,0.0746025,0.0715163,0.971809,-0.211913,-0.0023678,0.00580497,-0.00134897,-0.00067945,0.00142664,-0.00542653
1615136814.29938943,0.777922,3.59836,-0.989146,0.074602,0.0715571,0.971799,-0.211946,-0.00325521,0.00449268,-0.0024274,0.0141575,-0.00468154,-0.00803204
