Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615136358.31876878,1.08528,3.28023,-0.714221,0.011435,0.0172012,0.999669,0.0153593,0.0675347,0.00945,0.00688704,0.00473127,-0.0544302,-0.113748
1615136358.36816475,1.0849,3.28041,-0.714465,0.0115753,0.0172251,0.999663,0.0156097,0.0680258,0.0109673,0.0065165,0.00909607,-0.058794,-0.121591
1615136358.41698439,1.08461,3.28017,-0.714197,0.0117484,0.0172286,0.999657,0.0158175,0.067251,0.00856066,0.00301041,0.00123876,-0.0727571,-0.105875
1615136358.46618262,1.08437,3.28023,-0.714222,0.011936,0.0172512,0.999651,0.016035,0.0670005,0.00962341,0.000508682,0.00909247,-0.0779935,-0.104992
1615136358.51528152,1.08391,3.28022,-0.7143,0.0121068,0.0172778,0.999646,0.0162152,0.069624,0.00700157,0.00158455,0.0108344,-0.0710126,-0.0884041
1615136358.56430330,1.08377,3.28012,-0.714125,0.0122671,0.0173367,0.99964,0.0164069,0.0715927,0.00713238,0.00303893,0.0239248,-0.0666496,-0.0910132
1615136358.61326534,1.08323,3.28018,-0.714167,0.0124522,0.0173589,0.999634,0.0166077,0.0707516,0.0096088,0.000769034,0.00908982,-0.0771218,-0.0927561
1615136358.66289140,1.08283,3.28031,-0.71441,0.0126166,0.0173966,0.999628,0.0167812,0.0729481,0.00704909,0.00238739,0.0151965,-0.0675228,-0.083149
1615136358.71125431,1.08223,3.28026,-0.71443,0.0127812,0.0174545,0.999622,0.0169563,0.0750099,0.00747126,0.0027054,0.0239238,-0.0692685,-0.0866311
1615136358.76080299,1.08212,3.28026,-0.714454,0.0129514,0.0174837,0.999616,0.017137,0.0762284,0.00972365,0.00327845,0.0117071,-0.0701415,-0.0901159
1615136358.82567410,1.0812,3.28032,-0.71454,0.0131699,0.0175496,0.999609,0.0173291,0.0766698,0.00690893,0.00394513,0.0204302,-0.0683966,-0.0735243
1615136358.85856907,1.08149,3.28003,-0.713989,0.0132863,0.0175701,0.999606,0.0174038,0.0767322,0.00825656,0.00263256,0.0125758,-0.0718877,-0.0717722
1615136358.90753901,1.08118,3.28005,-0.714068,0.0134521,0.0176431,0.9996,0.0175123,0.0789995,0.00519911,0.00325074,0.0300274,-0.0683974,-0.0639054
1615136358.95717138,1.08068,3.28026,-0.714309,0.0136521,0.0176774,0.999595,0.0176107,0.0790902,0.0070358,0.00107323,0.0143181,-0.0814878,-0.057791
1615136358.100565290,1.08026,3.2801,-0.714144,0.0138372,0.0177152,0.999591,0.0176956,0.080116,0.00617669,0.00207191,0.0160626,-0.0771249,-0.0542908
1615136358.105470738,1.07965,3.28005,-0.714061,0.0140324,0.0177322,0.999586,0.0177933,0.0801362,0.00815835,0.000788243,0.00733744,-0.0806161,-0.0621358
