Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615139033.148204088,5.42228,-1.44946,12.548,-0.169519,0.564676,0.911671
1615139033.149637937,5.30201,-0.654173,12.8195,0.0492599,0.784138,0.259907
1615139033.151021957,5.2412,-0.577324,12.4751,0.13711,0.477804,-0.088189
1615139033.192234992,4.76889,-1.47912,13.0435,0.0938111,0.603936,0.71041
1615139033.193721055,5.2047,-1.72768,13.0219,0.312538,0.865873,0.668014
1615139033.194988012,5.28403,-1.66221,12.7503,-0.167522,0.821876,0.930397
1615139033.200508117,5.08633,-1.51991,12.6815,-0.517106,0.864434,1.01719
1615139033.202074050,5.20742,-1.60538,13.2345,-0.255535,1.47513,0.797715
1615139033.244409084,5.02461,-2.12817,12.1983,-0.695481,0.724121,1.00665
1615139033.246014118,4.96403,-2.13951,12.4326,-0.259156,0.986379,0.702335
1615139033.247692108,4.7959,-1.74126,12.3816,-0.21541,0.943241,0.39808
1615139033.292515039,5.30392,-1.87712,13.1734,-0.389376,1.58742,0.516507
1615139033.294166088,4.82771,-0.821166,12.2825,-1.13173,0.71537,-0.179977
1615139033.295628070,5.11913,-1.58982,13.0803,-0.477368,1.32883,0.127939
1615139033.336471080,4.79969,-2.15772,12.771,-0.390056,1.2079,0.614755
1615139033.338336944,4.76404,-1.78385,12.6911,-0.52128,1.25112,0.352033
1615139033.339756011,4.81125,-2.09597,13.0707,-0.215997,1.46916,0.438117
1615139033.341459035,4.73885,-2.11383,12.9576,-0.216165,1.29338,0.392465
1615139033.342951059,4.79216,-2.725,12.8813,0.876512,1.41667,0.513686
1615139033.344111919,4.6823,-1.66865,12.9155,-0.170639,1.41607,0.0754066
1615139033.345340013,4.79311,-1.50304,13.1661,0.00410722,1.67822,-0.0568898
1615139033.384639978,4.70349,-1.74218,12.9591,0.310085,1.45993,-0.0580367
1615139033.386295080,4.47502,-1.78694,12.7885,0.0902959,1.41435,0.291327
1615139033.428073883,3.92289,-1.65994,12.9355,0.00349605,1.24343,0.0287925
1615139033.429188966,4.07215,-1.78885,13.3843,0.0911121,1.72583,0.247984
1615139033.430249929,3.95903,-2.47776,13.2256,-0.258195,1.59757,1.03512
1615139033.472151994,3.53998,-1.66664,13.0249,-0.783634,1.51011,0.196696
1615139033.473470926,3.68284,-2.44948,13.0904,-0.56625,1.64049,0.805306
1615139033.474490880,3.68556,-2.09778,13.166,-0.0862452,1.55163,0.191225
1615139033.520834922,3.2736,-0.94726,12.0802,-0.700063,0.760606,-0.562234
1615139033.523523092,3.3825,-1.59602,12.5141,-0.613298,1.0663,0.136345
1615139033.525989055,3.44061,-1.68841,12.9058,-0.482534,1.28566,0.00629588
1615139033.568186044,3.14214,-2.2401,12.6358,-0.268172,1.44283,0.950779
1615139033.569251060,2.95676,-1.8891,12.4036,-0.530072,1.18488,0.737038
1615139033.570087909,3.19492,-2.20988,12.98,-0.48658,1.67032,0.872775
1615139033.612190961,2.66355,-1.59772,12.3102,-0.663519,0.867081,0.811339
1615139033.613236904,2.97945,-2.18362,13.0314,-0.183557,1.56829,1.07582
1615139033.614049911,2.74154,-1.67922,12.711,-0.663941,1.13322,0.859282
1615139033.660677909,2.7238,-1.55927,13.6335,-0.363627,1.44858,1.13595
1615139033.661962032,2.3334,-1.65738,13.1407,-0.145381,0.794042,1.00663
1615139033.662839889,2.70056,-1.3552,13.7638,-0.0141685,1.45017,0.658823
1615139033.704507112,2.48378,-0.566909,13.7665,-0.668272,0.932879,0.320064
1615139033.706192016,2.55043,-1.20028,14.2121,-0.363027,1.24027,0.80241
1615139033.707712888,2.21396,-1.17634,13.588,-0.494146,0.760987,0.804809
1615139033.709089040,2.48731,-1.59552,14.4722,-0.581866,1.46248,1.24444
1615139033.710352897,2.25764,-1.2494,14.0234,-1.06332,1.08439,0.824543
1615139033.711400032,2.21504,-0.883456,13.4529,-0.627266,0.953584,0.389293
1615139033.712450981,2.27513,-1.53938,13.2989,-0.802588,1.08608,1.17713
1615139033.756819963,2.40745,-2.62252,13.7556,0.201253,1.3505,1.70414
1615139033.758578062,2.59676,-1.71189,14.3739,-0.409706,1.61523,1.13914
1615139033.800446987,2.18302,-0.559286,13.1246,-0.327946,0.968136,0.190502
1615139033.802134037,2.43136,-1.43076,13.6574,0.85129,1.62361,0.496298
1615139033.803329944,2.09655,-1.86983,12.8574,0.196989,0.837312,1.19497
1615139033.844084024,2.74805,-1.86309,13.9925,0.0218549,1.62161,0.625302
1615139033.845031023,2.18909,-1.75552,13.2689,-0.283718,0.87872,0.712491
1615139033.845896005,2.24378,-1.22118,13.4839,-0.240001,1.18367,0.275756
1615139033.888006925,2.30481,-2.33578,13.5592,-0.109976,1.31076,0.752862
1615139033.888727903,2.05434,-1.46813,13.1371,-0.328172,1.09023,0.00858325
1615139033.889312028,2.05815,-1.07507,12.618,-0.37639,1.04733,0.0937745
1615139033.892108917,2.14743,-1.18858,12.7463,-0.0709924,1.26186,0.045596
1615139033.892657041,2.17298,-0.842218,12.8348,-0.50786,1.25811,0.0406347
1615139033.936085939,2.23471,-0.746875,12.3825,-0.466301,1.10819,-0.115916
1615139033.936662912,2.06875,-0.283057,12.3446,-0.0295805,1.14815,-0.862081
1615139033.937158107,2.26094,-0.858525,12.8827,-0.378962,1.75869,-0.210105
1615139033.980099916,2.02493,-0.403823,11.8761,0.0155883,1.06342,-0.561297
1615139033.980895996,2.27511,-0.877577,12.2715,0.190726,1.54645,-0.122459
1615139033.981482028,2.14501,-0.345865,11.7929,0.453753,1.24259,-0.775293
1615139034.24431943,2.28767,-0.605653,11.3401,-0.154549,1.06402,-0.295618
1615139034.26344060,2.36633,-0.554747,11.1904,-0.635071,1.06048,-0.299723
1615139034.28783082,2.65582,-0.277004,11.856,-1.15978,1.49479,-0.260005
1615139034.68231105,2.82403,-1.05458,11.1766,0.103651,1.38922,0.235713
1615139034.69504022,2.75031,-0.585339,10.8771,-0.245403,1.16957,-0.0279478
1615139034.70616006,2.64533,-0.228539,10.6454,-0.463746,0.905582,-0.247996
1615139034.116008043,2.63496,-0.910999,10.9803,0.104334,1.34261,-0.0753857
1615139034.116645097,2.32124,-0.708223,10.3663,-0.0698646,0.730145,-0.294086
1615139034.117161035,2.61961,-0.853166,10.944,-0.244417,1.16623,0.0109994
1615139034.164128065,2.64552,-0.408553,11.0214,-0.0260016,1.02305,-0.314486
1615139034.164771080,2.62535,-0.522171,10.7849,-0.462837,0.888051,0.0304272
1615139034.165213108,2.47498,-0.352937,10.4858,-0.288446,0.664803,-0.279513
1615139034.208161115,2.97208,0.0547356,10.9559,-0.33732,1.08492,-0.129232
1615139034.208839893,2.99139,-0.609955,10.8024,-0.119334,0.951879,0.567147
1615139034.209429025,3.21717,-0.01649,10.9765,0.0118784,1.25568,-0.0459589
1615139034.252002954,3.35672,-1.14554,10.9014,0.140446,1.11706,0.862274
1615139034.252682924,3.4965,-0.357674,11.174,-0.0338098,1.24739,0.250401
1615139034.253290891,3.58783,0.261305,11.2904,-0.601411,1.42183,0.0746123
1615139034.300071001,3.59048,-0.942446,11.1607,-0.299522,1.24203,1.24652
1615139034.300841093,3.54011,-0.919379,10.7782,0.0934134,0.979519,0.984682
1615139034.301367044,3.58106,-0.239237,11.2728,-0.343601,1.37061,0.591684
1615139034.301810979,3.36098,0.177243,10.9688,-0.256352,1.02024,0.285097
1615139034.302371025,3.38526,-0.0196979,10.6283,-0.387996,0.886575,0.674069
1615139034.302753925,3.55247,0.611014,10.9972,-0.781254,1.14785,0.367769
1615139034.303149938,3.798,0.671367,11.242,-0.257665,1.54092,0.148819
1615139034.344211101,3.91625,-0.331618,11.2749,0.0914259,1.67337,0.934553
1615139034.344816923,3.89078,0.0588468,11.1556,-0.257763,1.63109,0.803661
1615139034.345298051,3.84953,0.506705,11.1856,0.0916918,1.71939,0.279545
1615139034.345742940,3.53887,1.06998,10.6144,-1.17522,0.932445,0.409341
1615139034.346190929,3.76266,0.980431,10.986,-1.43838,1.19506,0.715269
1615139034.346801996,3.95841,0.449857,10.9087,-0.347755,1.41436,0.759615
1615139034.388148069,3.80289,-0.0216051,10.8794,0.307244,1.19638,0.67271
1615139034.388808012,3.93568,0.110927,11.1336,-0.434886,1.59128,0.979208
1615139034.389389038,3.83935,-0.121489,11.1251,-0.872138,1.46322,1.46141
1615139034.389919996,3.60176,0.462598,10.6947,-0.654232,0.769292,1.03148
1615139034.390387058,3.95999,0.132696,11.8806,-0.698292,1.68589,1.29487
1615139034.390841007,4.12798,0.205603,11.8137,-0.611577,1.68847,1.29626
1615139034.432095050,3.87546,0.40668,11.3585,-0.612066,1.12207,1.16648
1615139034.432652950,3.829,0.0585233,11.3058,-0.787623,0.817245,1.64858
1615139034.476059913,3.91339,0.245793,11.5309,-0.526479,1.08168,1.56495
1615139034.476691007,3.81713,0.519965,10.8998,-0.352115,0.732057,1.17313
1615139034.477190971,3.89469,0.52216,10.7804,-0.439712,0.731669,1.17413
1615139034.520840883,4.20308,0.538573,11.4684,-1.22725,1.57058,1.45129
1615139034.522027015,4.38607,0.0709362,11.571,-1.27219,1.75065,1.89223
1615139034.522737026,4.23279,-0.0134351,11.5655,-0.530769,1.62472,1.67873
1615139034.564145088,3.94243,-0.591146,10.8657,-0.577609,1.34608,2.22866
1615139034.564711093,4.1051,0.69859,11.3331,-1.1026,1.78559,1.40018
1615139034.565139055,4.08203,0.422136,11.4263,-0.623317,1.83021,1.31215
1615139034.607985973,3.7551,0.765111,10.8489,-0.411068,1.38174,1.11865
1615139034.608577966,3.88862,0.368212,11.092,-0.892207,1.55635,1.72838
