Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615136592.92034101,-2.06122,-3.11848,14.1837,-0.905092,0.301555,-0.382527
1615136592.93365907,-2.2027,-2.71678,13.6371,-1.86628,-0.00409354,-0.251751
1615136592.94535112,-1.95113,-3.39056,13.8997,-1.43094,0.257887,0.228638
1615136592.96168041,-2.1655,-2.79468,13.5721,-1.51917,0.0395631,-0.164334
1615136592.97412109,-1.89552,-3.29247,14.1761,-0.821683,0.651304,0.14106
1615136592.144335985,-1.84158,-3.43361,14.4548,-0.432474,0.651761,0.399051
1615136592.145756006,-2.07783,-2.37784,13.7018,-0.782199,0.171881,-0.518902
1615136592.147201061,-1.90409,-3.29576,13.9403,-0.695685,0.346723,0.178566
1615136592.192143917,-1.6931,-3.32332,14.0186,-0.0862789,0.478369,0.138379
1615136592.193353891,-1.66392,-3.72071,13.6903,-0.782936,0.436373,0.576725
1615136592.194236040,-1.73722,-3.46385,13.5856,-0.0841677,0.349596,-0.0757329
1615136592.240025043,-1.44701,-3.14597,13.5373,-0.475679,0.00127874,-0.415896
1615136592.241368055,-1.40754,-3.49213,13.3616,-1.08728,-0.0426785,0.151519
1615136592.243005990,-1.23145,-3.9212,13.2522,-0.476624,0.000716659,0.10818
1615136592.284089088,-0.743312,-4.21281,12.4211,0.0878072,-0.529803,-0.248319
1615136592.285121917,-0.528488,-3.83028,13.013,-0.261549,-0.00641771,-0.336544
1615136592.285767078,-0.409869,-4.22509,13.1902,0.0438172,0.0807626,-0.0315122
1615136592.327940940,-0.853922,-3.90395,12.8768,-0.1297,-0.452585,-0.554326
1615136592.328757047,-0.87749,-4.1653,12.7112,-0.30406,-0.54088,-0.11659
1615136592.329668998,-0.632123,-3.53295,13.3191,0.132877,0.157536,-0.813714
1615136592.336026906,-0.826034,-3.94294,12.8883,0.39536,-0.191873,-0.506899
1615136592.336869955,-0.59959,-3.86671,13.25,0.920076,0.244908,-0.723822
1615136592.380664110,-0.773313,-3.7428,12.7874,0.310694,-0.107762,-0.67852
1615136592.382088899,-0.854044,-3.26427,12.6144,-0.300552,-0.151781,-0.854545
1615136592.383405923,-0.562131,-4.09218,13.1495,0.135568,0.372273,-0.288369
1615136592.423989057,-0.948581,-4.23282,12.3253,0.746247,-0.111543,-0.512197
1615136592.424823999,-1.16821,-4.22716,11.9169,0.485107,-0.417717,-0.424108
1615136592.425532102,-0.735976,-3.80952,12.4693,0.223887,0.280933,-0.816034
1615136592.468020915,-0.50434,-4.42111,12.239,0.358394,0.322884,-0.414395
1615136592.469003915,-0.665314,-4.44356,11.9305,0.489555,-0.0263652,-0.37144
1615136592.469615936,-0.46243,-4.02087,12.2532,0.227735,0.454231,-0.590991
1615136592.512341976,-0.550466,-4.39448,11.7574,0.533519,0.105943,-0.680186
1615136592.514338970,-0.392445,-4.84877,11.962,0.141219,0.45573,-0.111649
1615136592.515722036,-0.346077,-4.57853,12.3377,-0.600601,0.806083,0.020476
1615136592.556001901,-0.882901,-4.08723,11.8288,-0.339728,0.281789,-0.153683
1615136592.556885004,-1.19044,-3.89712,11.0621,0.183982,-0.28607,-0.459764
1615136592.557750940,-1.02088,-4.01245,11.6137,-0.339897,0.194045,-0.023605
1615136592.604083061,-1.37415,-3.68068,10.9387,-0.120275,-0.0236225,-0.234075
1615136592.605499982,-1.60736,-4.19338,10.6597,0.534989,-0.417115,-0.101738
1615136592.606605052,-1.42479,-4.48376,11.0111,0.360986,-0.0245833,0.0737521
1615136592.652292966,-1.38491,-3.88875,10.9545,-0.513667,0.148208,-0.105253
1615136592.653459072,-1.51602,-4.04461,10.7812,-0.688761,-0.0703243,0.199835
1615136592.654515981,-1.60088,-4.64714,10.6502,-0.165191,-0.158096,0.505795
1615136592.696007013,-2.02055,-4.44772,11.4324,-0.293535,-0.031469,0.650837
1615136592.696958065,-1.77481,-4.20222,11.9755,-0.29318,0.449154,0.259849
1615136592.697832107,-2.06329,-4.11889,11.4889,-0.24932,-0.118381,0.0864855
1615136592.740086078,-1.83397,-4.48404,12.2227,-0.252094,0.320231,0.126489
1615136592.741512060,-1.76676,-4.45028,12.3231,-0.732508,0.407957,0.344791
1615136592.742821931,-1.63654,-4.37196,12.4654,-0.339786,0.583322,0.0399862
1615136592.784210920,-1.68234,-5.35128,12.288,-0.644187,0.368295,0.485082
1615136592.785335063,-1.88319,-4.9672,12.0353,-0.382209,0.106551,-0.037465
1615136592.786243915,-1.81382,-5.51402,12.235,-0.251257,0.368787,0.356291
1615136592.792294979,-1.80295,-5.36715,12.4432,-0.163905,0.544033,0.182217
1615136592.793451070,-1.96496,-6.04747,11.7624,-0.0766356,0.0202056,0.706338
1615136592.836159944,-2.11206,-4.32491,11.9538,-0.0804422,-0.158259,-0.345415
1615136592.837232112,-1.88336,-4.11824,12.4669,-0.429988,0.190951,-0.477601
1615136592.838486909,-1.85997,-4.45618,12.7145,0.530168,0.409688,-0.696713
1615136592.880230903,-1.96977,-4.25201,12.3209,-0.517754,-0.155258,-0.433875
1615136592.881762027,-1.69424,-3.40772,12.9726,-0.474078,0.543811,-1.13164
1615136592.883306026,-1.71568,-4.1253,12.8787,-0.0812338,0.457269,-0.607171
1615136592.923990011,-1.65048,-4.10519,12.8557,0.356491,0.155535,-0.737471
1615136592.924746036,-1.80123,-4.0276,12.3801,0.662418,-0.237592,-0.999783
1615136592.925401926,-1.57844,-3.307,12.9255,0.706474,0.199112,-1.65574
1615136592.971972942,-1.95322,-3.1625,12.8903,-0.296443,-0.0206942,-1.4015
1615136592.972707033,-2.06666,-4.2545,12.7027,0.0525386,-0.195673,-0.441618
1615136592.973340034,-2.0196,-3.37091,12.9455,-0.645913,0.0224641,-0.878451
1615136593.16022920,-2.05139,-3.70272,13.6099,0.230497,0.464613,-0.786644
1615136593.16788959,-2.15092,-3.28359,13.3088,-0.162386,0.159365,-0.918519
1615136593.17512083,-2.20091,-3.47621,12.9852,-0.206374,-0.0590312,-0.701513
1615136593.63918113,-2.30273,-3.25847,13.5793,0.706936,0.248974,-0.970861
1615136593.64650058,-2.30584,-3.55414,13.4457,-0.209175,0.205597,-0.227724
1615136593.65275907,-2.43127,-3.91829,13.094,0.489881,-0.0126572,-0.269344
1615136593.111910104,-2.02319,-2.79134,13.4492,-0.689483,0.0315511,-0.573159
1615136593.112487077,-1.79428,-3.71833,13.8766,-1.17056,0.468351,0.560855
1615136593.112934112,-1.86202,-2.99701,13.8387,-1.38977,0.381465,-0.0511441
1615136593.119885921,-1.77787,-3.01279,13.8103,-0.255652,0.51305,-0.488624
1615136593.120476961,-1.819,-3.15147,13.8046,-0.823718,0.426252,-0.00966243
1615136593.163904905,-1.81403,-2.58404,13.5203,-1.04497,-0.0560828,-0.272865
1615136593.164506912,-1.90462,-2.79486,12.9458,-1.26367,-0.537118,-0.0973311
1615136593.165066957,-1.73913,-2.44784,13.3441,-1.08954,-0.144766,-0.533037
