Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615136848.151665667,-1.98261,2.40581,-1.03042,0.0731851,0.0740327,0.962417,-0.250833,-0.0103222,-0.00685906,-0.0043012,0.0181114,-0.00651718,0.00577953
1615136848.156407668,-1.98263,2.4061,-1.03078,0.0731975,0.0740515,0.962404,-0.250872,-0.0104679,-0.00583452,-0.00388761,0.00589492,-0.00738959,0.00490971
1615136848.161392618,-1.98295,2.40622,-1.03081,0.0732139,0.0740441,0.96239,-0.250924,-0.0104975,-0.00614481,-0.00321887,-0.00457746,-0.00564397,0.0101492
1615136848.166369481,-1.98301,2.40455,-1.03005,0.0732146,0.0739661,0.962386,-0.250961,-0.0101004,-0.00304831,-0.0042069,-0.00722916,-0.0108513,0.00317648
1615136848.174259848,-1.98305,2.40459,-1.03012,0.0732647,0.0739566,0.962377,-0.250984,-0.0105305,-0.00383414,-0.00422576,-0.0054837,-0.0117238,0.00405194
1615136848.176129626,-1.98289,2.40451,-1.03001,0.0732662,0.0739597,0.962376,-0.250988,-0.00968957,-0.00489033,-0.0021078,0.00324276,-0.00212448,0.00492631
1615136848.181002374,-1.98286,2.40444,-1.02983,0.0732986,0.0739709,0.962372,-0.250991,-0.0112138,-0.00564439,-0.00409036,0.002369,-0.0134693,0.00841388
1615136848.185925843,-1.98308,2.40458,-1.03004,0.0733023,0.0739677,0.962376,-0.250973,-0.0100988,-0.00441885,-0.00184009,-0.000249028,-0.000379601,0.00491708
1615136848.190822212,-1.98281,2.40467,-1.03019,0.073319,0.073978,0.962387,-0.250922,-0.0107307,-0.00332358,-0.00322483,0.00324261,-0.00736128,-0.00468885
1615136848.195678953,-1.98308,2.40459,-1.0301,0.0733291,0.0739774,0.962395,-0.250889,-0.0101539,-0.00520036,-0.00186858,0.000621551,-0.00299836,0.00490155
1615136848.200595016,-1.98275,2.40472,-1.03025,0.0733415,0.0739556,0.962398,-0.25088,-0.0100053,-0.00606035,-0.00121047,-0.00723542,-0.00125338,0.0144913
1615136848.205498733,-1.98284,2.40459,-1.02997,0.0733385,0.0739337,0.962409,-0.250847,-0.00972097,-0.00352067,7.8587e-06,-0.00723339,0.00398232,0.000522246
1615136848.210417990,-1.98265,2.40467,-1.0301,0.0733508,0.0739711,0.962408,-0.250836,-0.0105378,-0.00659739,-0.00301614,0.014582,-0.00823516,0.0040132
1615136848.215296352,-1.9826,2.40465,-1.03005,0.0733657,0.0739804,0.962416,-0.250799,-0.0102287,-0.00205126,-0.00269013,0.00149482,-0.00736258,-0.0108267
1615136848.220133517,-1.98276,2.40471,-1.03009,0.0733825,0.0739731,0.962418,-0.250788,-0.0101935,-0.0020475,-0.00253813,-0.00548726,-0.00648986,-0.00646372
1615136848.225054709,-1.98268,2.40482,-1.03026,0.0733974,0.0739869,0.962417,-0.250783,-0.0104513,-0.00220885,-0.00314084,0.00236787,-0.00823502,-0.00994896
1615136848.229983113,-1.98245,2.40495,-1.03044,0.0734275,0.0739824,0.962406,-0.250819,-0.0108473,-0.00462736,-0.00343031,-0.00548831,-0.0117254,0.00401779
1615136848.234862206,-1.9825,2.40475,-1.02998,0.0734453,0.0739982,0.9624,-0.250831,-0.0107816,-0.00240068,-0.00249229,0.00236932,-0.00997972,-0.00993611
1615136848.239755161,-1.98278,2.40508,-1.03049,0.0734596,0.073991,0.962388,-0.250877,-0.0107041,-0.00412405,-0.00159578,-0.00548624,-0.00561599,0.00228764
1615136848.244655933,-1.9825,2.40496,-1.0302,0.0734523,0.0740026,0.962382,-0.250896,-0.0106692,-0.00238141,-0.000370897,0.0032436,0.00049306,-0.00904758
1615136848.249574149,-1.98243,2.40517,-1.03051,0.0734701,0.0740207,0.962365,-0.25095,-0.0118485,-0.00636082,-0.00246356,0.00498614,-0.00910591,0.00841268
