Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615140524.727200984,1.21651,5.50034,17.9709,0.0153609,0.594024,-0.351008
1615140524.730019092,1.42937,5.48781,18.3238,0.408915,0.900027,-0.612077
1615140524.732853889,1.20422,6.41955,17.7797,-0.332752,0.420157,-1.22316
1615140524.735517978,1.57895,5.53859,18.5944,-0.158123,1.07578,-0.611767
1615140524.780311107,1.55404,6.58652,18.7647,-0.202198,1.38635,-1.61729
1615140524.781418085,1.51221,6.08458,18.9283,0.365049,1.47606,-1.40049
1615140524.782501935,1.13558,5.92624,18.4434,-0.158982,1.04114,-1.00934
1615140524.824124097,0.361347,5.79029,18.757,0.313854,0.720921,-1.22417
1615140524.824846982,0.593667,5.54418,18.6136,0.795233,0.721672,-1.39828
1615140524.825395107,0.800413,5.15479,19.0221,0.970754,1.02772,-1.13528
1615140524.872252941,-0.449509,4.08249,18.0577,-0.349979,0.380765,-2.88551
1615140524.873908042,-0.656168,4.36144,17.8845,-1.04921,0.294385,-2.84315
1615140524.875344038,-0.950903,4.04556,17.5995,-0.395157,-0.0109841,-2.62603
1615140524.877326011,-0.767161,3.84922,17.8887,0.0847325,0.338926,-2.6271
1615140524.878860950,-0.980623,4.05908,17.6722,-0.175968,-0.624518,-2.6313
1615140524.880260944,-0.337632,3.5281,18.6906,0.34832,0.336046,-2.45606
1615140524.881757020,-0.362076,4.27594,18.3504,-0.262298,0.0308272,-2.8922
1615140524.920598030,-1.7293,2.57425,17.0513,-0.288625,-0.749919,-4.91947
1615140524.921730041,-1.88801,2.35115,16.8241,-0.899232,-1.01302,-4.4379
1615140524.964167118,-4.05527,1.50405,14.9756,-0.864766,-2.19389,-6.39643
1615140524.965073108,-4.03523,2.33675,15.1929,-1.25749,-2.06525,-6.78887
1615140524.965799093,-4.02123,2.46195,15.219,-0.689954,-2.02333,-7.09425
1615140525.8301973,-5.68531,-1.10777,11.9425,0.263994,-2.75029,-8.00452
1615140525.9619951,-5.57586,-0.731316,12.3043,-0.258441,-2.6206,-8.13316
1615140525.10682106,-5.4334,-0.582483,12.4854,-0.34495,-2.3157,-8.17442
1615140525.16509056,-5.62066,-0.736217,11.9957,-0.343684,-2.75365,-8.08451
1615140525.17864942,-5.7994,-1.67666,11.599,0.095093,-3.10522,-7.42629
1615140525.60110092,-6.23957,-2.52289,8.9688,-0.754996,-3.47655,-7.60848
1615140525.61027050,-6.35739,-2.59901,9.44057,-0.44884,-3.12949,-7.69318
1615140525.61600923,-6.48717,-2.57705,9.19678,-0.185731,-3.34995,-7.60311
1615140525.104311943,-6.20245,-4.06973,6.42105,0.759111,-2.80659,-6.18512
1615140525.105520963,-6.3597,-3.54555,6.23169,0.804592,-2.93717,-6.66132
1615140525.106909990,-6.37353,-4.10017,6.19447,1.19934,-2.76162,-6.48295
1615140525.148770093,-5.83064,-5.71459,1.05073,0.757525,-2.95573,-5.9692
1615140525.150842905,-5.76614,-6.71639,1.26016,0.759747,-2.73462,-5.21951
1615140525.152393102,-5.91452,-6.0717,0.667579,0.587,-3.08204,-5.69334
1615140525.158118009,-5.72017,-6.42118,1.23661,0.632033,-2.77448,-5.16369
1615140525.159508943,-5.10728,-5.92898,1.39853,1.2542,-2.23276,-5.43054
1615140525.160598993,-5.4344,-5.61257,1.22766,1.86818,-2.35873,-5.85966
1615140525.161391973,-5.54712,-5.82349,0.865257,1.65303,-2.57308,-5.28527
