Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615139363.296125888,0.165243,-6.67538,13.8057,-2.759,2.85489,0.502552
1615139363.296981096,0.487132,-6.46368,14.6219,-2.45408,3.51145,0.0226554
1615139363.297539949,0.528882,-6.76034,14.6692,-3.37388,3.64635,0.633473
1615139363.340193033,0.922189,-6.39586,14.495,-3.43881,3.63264,0.188349
1615139363.341531038,0.913142,-6.70138,14.6576,-3.39851,3.76796,0.231695
1615139363.342432975,0.733404,-6.96778,14.3729,-2.70169,3.55251,0.232755
1615139363.384279012,1.47266,-6.18031,15.2074,-2.27163,3.96531,-0.114803
1615139363.385582923,1.07318,-5.66612,14.4311,-1.65823,3.17701,-0.949486
1615139363.387192010,1.30207,-6.25181,14.6811,-2.53152,3.35099,-0.0818485
1615139363.428649902,1.41993,-5.27586,16.1351,-2.75318,3.44144,-0.61479
1615139363.430145978,1.40183,-6.17952,15.7511,-2.31674,3.04699,0.0807926
1615139363.431457042,1.55868,-5.27117,15.8614,-2.0097,3.04455,-0.88325
1615139363.472697973,1.75344,-6.21511,16.4459,-1.21511,3.435,0.123674
1615139363.473916053,1.4904,-5.27892,15.8133,-1.38691,2.77727,-0.663158
1615139363.474773883,1.67449,-5.32701,16.1691,-1.60279,3.03628,-0.491601
1615139363.516865968,1.55966,-5.18074,16.301,-1.19443,3.24246,-0.632384
1615139363.519233942,1.55917,-5.14871,16.2553,-1.32245,3.0657,-0.502368
1615139363.521733999,1.65328,-4.78991,15.9395,-1.49428,2.97568,-0.722534
1615139363.560322999,1.65991,-4.96958,16.7357,-2.00778,3.30864,-0.179404
1615139363.561152935,1.68755,-4.87318,16.9171,-1.91967,3.5725,-0.265266
1615139363.562112092,1.45399,-4.34314,16.1131,-2.92482,3.00615,-0.220628
1615139363.608149051,1.16255,-4.47894,15.9403,-1.69368,2.9057,-0.441031
1615139363.609143972,1.28311,-5.11677,15.9706,-1.51705,3.03406,-0.006881
1615139363.610052108,1.28773,-5.36204,15.6596,-0.902235,2.85515,-0.00898662
1615139363.610732078,1.55604,-5.73024,15.7275,-1.33607,3.02716,0.339107
1615139363.611418008,1.53242,-6.2125,14.8121,-2.2506,2.76505,0.390329
1615139363.611978054,1.73548,-6.5913,15.2411,-2.29458,3.20264,0.655114
1615139363.612529039,1.55421,-6.29708,15.1784,-2.81993,3.16081,0.657695
1615139363.653286933,1.52407,-6.57251,15.0917,-3.0843,3.20683,1.0097
1615139363.656514883,1.39884,-6.41216,14.6712,-2.56154,3.03304,0.663444
1615139363.696496963,1.52291,-5.50475,15.6823,-3.27631,3.52174,0.80095
1615139363.697671890,1.41358,-5.75316,15.3025,-3.62961,3.34971,1.28023
1615139363.698780059,1.24017,-5.87555,14.9081,-3.72102,3.00139,1.27901
1615139363.744108915,1.13335,-6.23183,14.8052,-3.1261,3.13454,0.865769
1615139363.745125055,1.17033,-5.28254,14.5799,-3.91537,3.04815,0.295459
1615139363.745903015,1.3064,-5.48749,14.7536,-3.56995,3.22425,0.511809
1615139363.792790889,1.46129,-5.86651,14.3932,-3.7279,3.46658,0.522231
1615139363.796247005,1.17268,-6.64521,13.9885,-3.60092,3.11956,1.04767
1615139363.799273967,1.19919,-7.00095,13.9971,-3.42987,3.29637,1.31079
1615139363.836087942,0.803146,-5.42495,14.4016,-3.10889,3.13126,0.341921
1615139363.836872100,0.980236,-4.99843,14.9164,-2.80468,3.57062,-0.267899
1615139363.837492942,0.886194,-5.55324,14.5597,-2.19339,3.35329,-0.0923244
1615139363.880148887,0.692599,-4.38403,14.6142,-3.21299,3.27736,-0.54052
1615139363.881366968,0.60531,-5.14964,14.4416,-2.60254,3.01625,-0.319331
1615139363.882486104,0.542051,-5.19541,14.4174,-2.603,2.92909,-0.0546761
1615139363.925478935,0.407118,-3.55447,15.2036,-2.55356,3.18109,-1.38101
1615139363.930260896,0.120443,-4.57007,14.9165,-1.85372,3.13641,-0.770431
1615139363.931694984,0.193363,-5.09918,15.415,-1.98384,3.57405,-0.071885
1615139363.936314105,0.14945,-4.55515,15.2678,-1.94151,3.13914,-0.290064
1615139363.937400102,0.105723,-4.52872,15.1955,-1.63365,2.87407,-0.204039
1615139363.984225988,0.590949,-3.71442,15.7713,-1.75409,3.64587,-0.702271
1615139363.985296010,0.186534,-3.27782,15.2863,-1.13931,3.16391,-1.27051
1615139363.986210107,-0.0585105,-3.49951,14.8893,-1.48554,2.81235,-0.833199
1615139364.28630018,0.0962617,-3.49059,14.6323,-1.37272,3.54169,-0.490948
1615139364.31152009,-0.300738,-3.54262,13.6049,-1.36957,2.79546,-0.669532
1615139364.33202886,-0.282308,-3.61125,13.5745,-1.27874,2.4403,-0.716693
1615139364.72333097,-0.532278,-3.15493,13.1185,-1.78866,2.72959,-1.20158
1615139364.73542118,-0.611103,-4.2546,13.829,-1.30538,2.89812,-0.417821
1615139364.74465990,-0.62648,-4.60966,13.6208,-1.69617,2.7636,-0.0275471
1615139364.120332002,-0.769196,-4.38421,13.6243,-1.55273,2.87586,-0.261924
1615139364.121623992,-0.372537,-4.58905,14.5744,-1.76985,3.79512,-0.0857486
1615139364.122514963,-0.572016,-4.77887,13.8949,-1.37471,3.35908,-0.0837875
1615139364.124468088,-0.822034,-3.78833,13.4866,-2.4219,2.96676,-0.518359
1615139364.125930070,-0.774577,-3.98313,13.588,-2.59724,3.27414,-0.429548
1615139364.168217897,-0.979353,-4.23954,13.8003,-1.63407,3.13982,-0.342482
1615139364.168832063,-0.953409,-3.99156,13.7108,-2.46369,3.2271,-0.0833772
1615139364.169284105,-1.10944,-3.60002,13.2068,-2.42009,2.83228,-0.392438
1615139364.212017059,-0.954868,-2.97344,13.496,-2.82287,3.01063,-0.621901
1615139364.212640047,-0.582413,-3.61567,13.847,-2.9122,3.5376,0.03374
1615139364.213061094,-0.477683,-3.02399,14.0261,-3.26401,3.62934,-0.357965
1615139364.260102987,-0.912548,-4.21481,13.3566,-1.9194,3.02545,0.41838
1615139364.260710000,-0.974543,-3.26742,13.3331,-2.31176,2.97981,-0.502941
1615139364.261156082,-0.855677,-2.94046,13.5137,-1.91778,3.19639,-0.98845
1615139364.304145097,-0.96836,-4.09271,14.0867,-3.32964,3.38291,0.540241
1615139364.304769992,-1.07764,-4.46533,13.7008,-3.28897,3.12275,0.847272
1615139364.305201053,-0.808714,-4.4995,14.2581,-2.67932,3.43006,0.630077
1615139364.348000049,-0.739797,-2.43358,14.2193,-2.20966,3.48333,-0.728954
1615139364.348586082,-0.856666,-2.98183,13.9011,-2.64693,3.22304,-0.116209
1615139364.349028110,-0.956261,-2.9214,13.5821,-1.81606,3.00418,-0.506669
1615139364.392079114,-0.963279,-3.85481,13.6626,-2.38601,2.59962,0.403781
1615139364.392607927,-0.89217,-2.74519,13.7923,-3.21726,2.8166,-0.167569
1615139364.393070936,-0.786842,-2.41284,13.9927,-3.21965,2.99113,-0.301403
1615139364.436113119,-0.829736,-2.72417,13.3558,-2.29857,2.46026,-0.134256
1615139364.436692953,-0.314868,-2.98749,14.6471,-1.81736,3.46369,-0.224589
