Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615138920.872451066,-2.24902,-9.44482,20.588,0.61271,0.934447,-0.399507
1615138920.873955011,-2.22468,-9.34258,20.9223,0.528212,0.977991,-0.704056
1615138920.875233888,-2.05371,-9.65868,21.0311,0.573799,1.15204,-0.528779
1615138920.916486978,-1.96056,-9.97026,20.3527,-0.0748388,0.664728,-0.357921
1615138920.917762994,-1.75366,-9.48797,20.6077,-0.0297661,0.838436,-0.749533
1615138920.918859958,-1.85919,-9.68731,20.2743,-0.421628,0.619087,-0.267931
1615138920.960407018,-1.27455,-11.1075,20.6125,0.415255,1.08923,0.300685
1615138920.961752891,-1.51686,-11.1722,20.6112,0.241537,0.870385,0.254883
1615138920.962857007,-1.61071,-10.7193,20.3801,-0.238214,0.563965,-0.00922282
1615138921.4441976,-1.30068,-9.82044,20.1829,-0.978045,0.336517,-0.0513527
1615138921.5587100,-1.14958,-10.0176,20.3606,-1.15294,0.422804,-0.225432
1615138921.7092952,-1.34319,-9.92657,19.96,-0.847434,0.0717757,-0.574615
1615138921.48235893,-1.05637,-10.1373,20.143,-0.0611169,0.674198,0.0318521
1615138921.49727916,-1.10054,-10.4107,19.9342,0.0274859,0.541584,0.163554
1615138921.51213979,-1.0065,-10.3684,20.2997,0.20367,0.758493,-0.00987181
1615138921.92679023,-0.76359,-10.2433,19.5904,-0.576557,0.793808,0.564143
1615138921.93908071,-1.11521,-10.2125,19.0141,-0.576549,0.312311,0.344689
1615138921.95179080,-1.05823,-9.69803,19.3725,-0.969992,0.617432,0.124817
1615138921.136435985,-1.82355,-8.43618,19.225,0.388166,0.654904,-0.575695
1615138921.137799024,-1.62817,-9.53269,19.5825,0.47717,0.915589,0.385397
1615138921.138854026,-1.5324,-9.50543,19.6126,0.566522,1.04563,0.343097
1615138921.180350065,-1.75882,-9.29806,18.8123,0.492117,0.557712,-0.302958
1615138921.181920051,-1.53846,-9.23564,19.138,0.318629,0.862507,-0.173191
1615138921.183247089,-1.55514,-9.03549,18.9586,0.581707,0.818142,-0.480645
