Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615136592.52758722,1.02464,3.31864,-0.859931,0.0806877,0.0664068,0.990051,-0.0942228,-0.00027735,-0.00566075,0.000165447,0.0276658,0.000909158,-0.00395601
1615136592.57672174,1.02479,3.31868,-0.860005,0.0807093,0.0664461,0.990047,-0.0942185,-0.00132365,-0.00366504,-0.0021869,0.0137049,-0.011308,-0.0100639
1615136592.62537623,1.02471,3.31874,-0.860062,0.0806952,0.0664937,0.990046,-0.0942166,-8.60535e-06,-0.00409655,0.000972904,0.0180696,0.00265477,-0.0135487
1615136592.67477112,1.02471,3.31896,-0.860281,0.0807117,0.0665314,0.990038,-0.0942508,-0.00140228,-0.00719445,-0.00153845,0.0137042,-0.00868966,0.000419013
1615136592.72398484,1.02493,3.31871,-0.859867,0.080687,0.0665745,0.990036,-0.0942676,0.000548207,-0.00531173,0.00103604,0.0163255,0.00701855,-0.0109178
1615136592.77280440,1.02452,3.31876,-0.859946,0.0806869,0.066607,0.990031,-0.0942981,-0.000218665,-0.00527136,-0.00125927,0.0110901,-0.00258043,-0.00829182
1615136592.82202360,1.02461,3.31893,-0.860196,0.0807081,0.0666303,0.990027,-0.0943075,-0.00156124,-0.0030349,-0.00304993,0.00585672,-0.0113067,-0.0152654
1615136592.87155366,1.0245,3.3189,-0.860055,0.0807075,0.0666648,0.990019,-0.0943618,-0.000645224,-0.00726239,-0.00017011,0.0128354,-0.00170708,0.00307025
1615136592.92067179,1.02464,3.31893,-0.860165,0.0807137,0.0666979,0.990015,-0.0943748,-0.00130849,-0.00358711,-0.00101728,0.0110939,-0.00519743,-0.0108857
1615136592.96944533,1.02477,3.31882,-0.859945,0.0807403,0.0667093,0.99001,-0.0943974,-0.00179323,-0.0041559,-0.00290547,0.00236642,-0.0121785,-0.00302761
1615136592.101857603,1.02479,3.31894,-0.860074,0.0807417,0.0667324,0.990009,-0.0943912,-0.0007823,-0.00311526,-0.00098994,0.00760474,-0.00257899,-0.0117492
1615136592.106718619,1.02472,3.31899,-0.860111,0.0807333,0.0667836,0.990006,-0.0943895,-0.000832983,-0.00618821,0.000244786,0.0206937,0.000911732,-0.00563647
1615136592.111706692,1.02479,3.31906,-0.86008,0.080707,0.066834,0.990005,-0.0943916,-0.000279517,-0.00821335,0.00228822,0.0215647,0.00876565,0.00134375
1615136592.116573646,1.02456,3.31916,-0.860238,0.0807073,0.0668567,0.990009,-0.0943366,-0.0011749,-0.00329761,-1.08529e-05,0.00847784,-0.00170647,-0.0161154
1615136592.121397258,1.02452,3.319,-0.860028,0.0807048,0.0668539,0.990014,-0.0942804,-0.000989884,-0.00305867,0.000461599,-0.00112314,0.000911294,-0.0117592
1615136592.126332259,1.0246,3.31926,-0.860448,0.0807243,0.066852,0.990019,-0.0942158,-0.00213254,-0.0034042,-0.00101892,-0.00112457,-0.00781566,-0.010021
1615136592.131260661,1.02479,3.31839,-0.859672,0.0807568,0.0668524,0.990025,-0.0941209,-0.00226679,-0.00201213,-0.000492405,0.0128183,-0.00695354,-0.0187501
1615136592.136176222,1.02465,3.31846,-0.859833,0.0807714,0.0668476,0.990031,-0.0940518,-0.00198884,-0.00301687,0.000125,-0.00114853,-0.00520866,-0.00567297
1615136592.146014550,1.02472,3.31858,-0.860044,0.0808114,0.066881,0.990038,-0.0939219,-0.00285195,-0.00324136,-0.00159908,0.00670347,-0.0104454,-0.0100535
1615136592.150912347,1.02507,3.31834,-0.859607,0.0808184,0.0668745,0.990041,-0.0938836,-0.00202481,-0.00455697,0.000166037,-0.00115443,-0.00171905,0.00302652
1615136592.155784474,1.02463,3.31853,-0.859883,0.0808147,0.0668543,0.990048,-0.0938313,-0.00185719,-0.00224358,0.000841545,-0.00726257,0.00264402,-0.00483604
1615136592.160704215,1.02478,3.31852,-0.859928,0.0808064,0.0668678,0.990054,-0.0937714,-0.00181591,-0.00175775,0.00102131,0.00582793,0.00264381,-0.0118207
1615136592.165619303,1.0248,3.31849,-0.859726,0.0808177,0.0668704,0.990054,-0.093752,-0.00292154,-0.00406958,-0.000558044,0.00146136,-0.00433765,0.00126428
1615136592.170472228,1.02497,3.31857,-0.85987,0.080803,0.0668828,0.990054,-0.093756,-0.00210041,-0.00506244,0.00186334,0.00669592,0.00613424,0.00649878
1615136592.175402449,1.02469,3.31865,-0.860033,0.0807967,0.0668932,0.990057,-0.0937267,-0.00285197,-0.00178512,0.000674653,0.00408068,0.00177085,-0.0083389
1615136592.180322310,1.02477,3.31877,-0.860094,0.0807911,0.0669086,0.990056,-0.0937272,-0.00309543,-0.00423259,0.000560767,0.00669661,0.00177082,0.00126019
1615136592.185203690,1.02462,3.31853,-0.859742,0.0807785,0.0669558,0.990056,-0.0937089,-0.00330176,-0.00289671,0.000927907,0.0189163,0.0026435,-0.0100816
1615136592.190118134,1.02473,3.31857,-0.859851,0.0807706,0.0669742,0.990056,-0.0936962,-0.00397935,-0.001175,0.00146972,0.00669901,0.00177089,-0.00920989
1615136592.195016928,1.02499,3.3185,-0.859654,0.080756,0.0669933,0.990054,-0.0937207,-0.00417519,-0.00414559,0.00194069,0.00844176,0.00526162,0.00475505
1615136592.199933773,1.02495,3.31865,-0.859783,0.0807285,0.0670377,0.990054,-0.0937166,-0.00411985,-0.00169548,0.00255136,0.018044,0.00875235,-0.00833087
1615136592.204838562,1.02503,3.31858,-0.859724,0.080705,0.06708,0.990049,-0.093751,-0.00428357,-0.00430702,0.00274097,0.0180418,0.00787979,0.00476246
1615136592.209728973,1.02473,3.31872,-0.859851,0.0806864,0.0670837,0.990048,-0.093774,-0.00465273,-0.00117411,0.00265236,0.00146281,0.00700727,-0.000472673
1615136592.214648295,1.0249,3.31874,-0.85989,0.0806687,0.0670891,0.990048,-0.0937851,-0.0051854,-0.000515324,0.00203984,0.0014647,0.00613477,-0.00657651
1615136592.219556102,1.02493,3.3187,-0.85976,0.0806355,0.0670695,0.990049,-0.0938199,-0.00478323,-0.00133565,0.00426482,-0.00726325,0.0139889,0.00302598
1615136592.224437540,1.02492,3.31865,-0.859638,0.0806223,0.0670704,0.990045,-0.0938724,-0.00608467,-0.00260699,0.00244518,0.000590444,0.00526248,0.00826946
1615136592.229318080,1.02524,3.31878,-0.85976,0.0805999,0.0670761,0.990045,-0.0938907,-0.0059594,0.000964952,0.00305228,0.00146716,0.0078807,-0.00743187
1615136592.234240752,1.02464,3.31885,-0.859892,0.080598,0.0670603,0.990042,-0.093934,-0.00690996,-0.000518934,0.00164564,-0.00726071,0.000899637,0.00304524
1615136592.239053714,1.02514,3.31877,-0.859752,0.0805677,0.0670494,0.990042,-0.0939644,-0.00586151,1.86481e-05,0.00457156,-0.0046408,0.0122445,-0.00218378
1615136592.244067288,1.02532,3.31864,-0.859494,0.080561,0.067057,0.99004,-0.0939941,-0.00669963,-0.0015492,0.0018926,0.00234092,0.00177278,-0.00043144
1615136592.248928935,1.02539,3.31879,-0.859739,0.0805592,0.0670513,0.990039,-0.0940049,-0.00714691,6.29243e-05,0.00143071,-0.00376579,2.76631e-05,-0.00653626
1615136592.253783356,1.02509,3.31889,-0.85994,0.0805784,0.0670594,0.990039,-0.0939867,-0.0084019,0.00115864,-0.000725385,0.000599822,-0.00957149,-0.0152583
1615136592.258799833,1.02509,3.3187,-0.859465,0.0805382,0.0670563,0.990042,-0.093987,-0.00620514,-0.00099228,0.00470394,-0.000274953,0.0157359,-0.00391246
